Song Name,Duration,Album,Artists,Artist_id,Album_id,Genre,Release_Date
Vivrant Thing (feat. Q-Tip),3:18,The Anthology,"Violator, Q-Tip",1insTr1g2lXrdbHZWihh5B,3FAK4h4t9uV4JxzESXllAU,,1999-10-26
Alphabet Aerobics,2:23,A2G EP,"Blackalicious, Lateef The Truthspeaker, Cut Chemist",42Np3r8zXnaKcjLQsQSjyG,1CcWqYQy7DjrPlLvgDnH3k,"alternative hip hop, hip hop",1999-04-30
A New,4:04,Machine Dreams,Little Dragon,6Tyzp9KzpiZ04DABQoedps,1223HNo18fRbvEKxMgiSa7,"art pop, chillwave, downtempo, electronica, gothenburg indie, indie soul, indietronica, neo-synthpop, swedish electropop, swedish synthpop, trip hop",2009-08-17
Lover Chanting,5:39,Lover Chanting,Little Dragon,6Tyzp9KzpiZ04DABQoedps,7aY7UC5KZHYMnbhzGWFqTw,"art pop, chillwave, downtempo, electronica, gothenburg indie, indie soul, indietronica, neo-synthpop, swedish electropop, swedish synthpop, trip hop",2018-10-09
Windows (feat. Ansaba),3:23,Echo Chamber,"Ash Walker, Ansaba",38jDRxwK5wuTKAk54LEj1F,05oAxtpWGSQWFJQhbqGhwv,"indie jazz, uk contemporary jazz",2016-10-28
Golden Delilah,2:94,Little Tybee,Little Tybee,4wzILxEdnni4pGRUyJIVAp,2ACW4xlKWgnaH0cW8073CJ,"atlanta indie, stomp pop",2016-06-03
Flux,3:0,Ascend,Pogo,1ng3xz2dyz57Z1WpnzM2G7,36tGzn7r25tee2eQWAvhH6,plunderphonics,2018-02-16
Forget,2:75,Kindred Shadow,Pogo,1ng3xz2dyz57Z1WpnzM2G7,6kqZPhxz3xIsJl4CfITDpL,plunderphonics,2015-06-11
Some Sunsick Day,5:19,Phase Zero,Morgan Delt,29ITaP4nYGDlz54m7pLJL1,7wIpbVMqhkkIA4CAEY0fsb,neo-psychedelic,2016-08-26
Two Weeks,4:05,Veckatimest,Grizzly Bear,2Jv5eshHtLycR6R8KQCdc4,6FIFqclBriPCb0SjWDaHIk,"art pop, baroque pop, brooklyn indie, indie rock, neo-synthpop, new weird america",2009-05-24
Faust,3:85,G-Sides,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,6z8arLj8lWDoxk99ayMYlz,"alternative hip hop, modern rock, rock",2002-02-28
Latin Simone (Que Pasa Contigo),3:65,Gorillaz,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,4tUxQkrduOE8sfgwJ5BI2F,"alternative hip hop, modern rock, rock",2001-03-26
Rock the House,4:15,Gorillaz,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,4tUxQkrduOE8sfgwJ5BI2F,"alternative hip hop, modern rock, rock",2001-03-26
New Genius (Brother),4:0,Gorillaz,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,4tUxQkrduOE8sfgwJ5BI2F,"alternative hip hop, modern rock, rock",2001-03-26
Bañana Baby,5:49,Laika Come Home,"Gorillaz, Space Monkeyz",3AA28KZvwAUcZuOKwyblJQ,0yPLNfI8WPJWFoJugr0KAv,"alternative hip hop, modern rock, rock",2002-07-01
Strictly Rubbadub,3:69,Laika Come Home,"Gorillaz, Space Monkeyz",3AA28KZvwAUcZuOKwyblJQ,0yPLNfI8WPJWFoJugr0KAv,"alternative hip hop, modern rock, rock",2002-07-01
All Alone,3:56,Demon Days,"Gorillaz, Martina Topley-Bird, Roots Manuva",3AA28KZvwAUcZuOKwyblJQ,0bUTHlWbkSQysoM3VsWldT,"alternative hip hop, modern rock, rock",2005-05-23
November Has Come,2:75,Demon Days,"Gorillaz, MF DOOM",3AA28KZvwAUcZuOKwyblJQ,0bUTHlWbkSQysoM3VsWldT,"alternative hip hop, modern rock, rock",2005-05-23
Every Planet We Reach Is Dead,4:92,Demon Days,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,0bUTHlWbkSQysoM3VsWldT,"alternative hip hop, modern rock, rock",2005-05-23
El Mañana,3:92,Demon Days,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,0bUTHlWbkSQysoM3VsWldT,"alternative hip hop, modern rock, rock",2005-05-23
Coffee & TV,5:98,13,Blur,7MhMgCo0Bl0Kukl93PZbYS,5YuZ4DjvtZBywtIbHIqtGJ,"alternative rock, britpop, madchester, permanent wave, rock",1999
Bury Me Next To You,3:73,In Another Life,Bilal,4jCbgl5Dmt3uOh8WRQfpPs,6InQseLVCMxyyoC7a6Y1mq,neo soul,2015-06-30
Donuts for Dinner,2:4,Donuts for Dinner,Natty Reeves,1fsSvgFWoQcgRDGyG6ZY64,3PAKlRP5xSHsMrRB7zWrBP,,2017-05-05
Rain on My Windscreen,1:98,Ascend,Pogo,1ng3xz2dyz57Z1WpnzM2G7,36tGzn7r25tee2eQWAvhH6,plunderphonics,2018-02-16
New Day,3:16,Reminiscence,Handbook,6OvOdUubb1MOOz2FtGWlHk,3RUdgcV5I0INzlJLCGp7gg,"abstract beats, chillhop",2018-05-04
Who Put You Behind The Wheel?,6:82,Everybody Has A Plan Until They Get Punched In The Mouth,Charlie Hunter,0si9BxvM2C33fAIkr1pgUc,7aliftCadLSNhOG4EvBsbk,jazz guitar,2016-07-22
Lotus,4:83,"Hello, Summer",Pat Van Dyke,1yaeIrccwZJISDyXmizfZZ,56D48GzOYHd1cRMaSmMoJu,indie jazz,2018-06-22
N°9,4:97,NEWTOWN,toconoma,3XKBSRkQeskeHIpRvA5XaS,4lJkigPZR4l3xT2sUOVHRX,"japanese jazz fusion, japanese math rock",2017-06-07
Play Nice,7:37,Love Will Let You Down,Lounge FM,6hc0mVCpacCeXn2M8O8nj5,2A0VHH7uZhV8RAyteKOkj4,bedroom soul,2018-03-30
Blood is thicker than water,3:52,Living Message,Hidefumi Ino,0StJhTOwSFMrgRwDGnnE2S,1JDnILGoI2TFSWeAOqyeA2,"japanese jazz, japanese jazz fusion, japanese jazztronica, japanese soul",2008-06-27
Dreamcatcher,4:22,Origin,Vanilla,7pnSUizGuS2tAW2yCAhafn,6J7xW1IJiJ82bSVsEWVCCY,chillhop,2015-09-20
Footsteps,3:62,Origin,Vanilla,7pnSUizGuS2tAW2yCAhafn,6J7xW1IJiJ82bSVsEWVCCY,chillhop,2015-09-20
Kid Goku,2:57,Dragonball Wave,Maitro,4pG6hTUl9HhyftfJQQI7np,1N5tmxgeQve2CcAZqU5w00,"future funk, vaporwave",2017-04-20
The Benevolent Harlequin,3:57,Incognito in Soho,Funky DL,3V35H6xv4eium9zl8CQeG5,28lhBI2Mhzln4042e69ta3,jazz rap,2017-11-03
Hyphlive,1:59,Thoto_leing,Thoto_leing,5a4nrJ6eEVHg5CDeTbPwlm,05zydkKDJWX9r0l4yRbCuN,,2018-06-25
Owls,1:25,Owls,"Hawks, wuf",4ZUNXYwh6gDNwd3IUHdaYw,0ffscooOet3BDiDmez218J,,2017-10-29
Brazil,4:02,Point,Cornelius,2vJObElaIZWYDLpiXiJMo9,4mZgIoGyI813KAjmv7Dbo1,"indietronica, j-ambient, japanese alternative pop, shibuya-kei",2002-01-22
Money Trees,6:45,"good kid, m.A.A.d city (Deluxe)","Kendrick Lamar, Jay Rock",2YZyLoL8N0Wb9xBt1NhZWg,3DGQ1iZ9XKUQxAUWjfC34w,"conscious hip hop, hip hop, rap, west coast rap",2012
King Kunta,3:91,To Pimp A Butterfly,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,7ycBtnsMtyVbbwTfJwRjSP,"conscious hip hop, hip hop, rap, west coast rap",2015-03-16
Bird Watching at Inner Forest,4:83,Point,Cornelius,2vJObElaIZWYDLpiXiJMo9,4mZgIoGyI813KAjmv7Dbo1,"indietronica, j-ambient, japanese alternative pop, shibuya-kei",2002-01-22
Another View Point,5:65,Point,Cornelius,2vJObElaIZWYDLpiXiJMo9,4mZgIoGyI813KAjmv7Dbo1,"indietronica, j-ambient, japanese alternative pop, shibuya-kei",2002-01-22
Drop,5:14,Point,Cornelius,2vJObElaIZWYDLpiXiJMo9,4mZgIoGyI813KAjmv7Dbo1,"indietronica, j-ambient, japanese alternative pop, shibuya-kei",2002-01-22
Outta My System - Washed Out Remix,4:99,Outta My System: Remixez Y Friendz,My Morning Jacket,43O3c6wewpzPKwVaGEEtBM,1HYW4WqwP90UUVjEhsj3oB,"chamber pop, indie rock, jam band, louisville indie, melancholia, roots rock, stomp and holler",2012-01-01
Tonight,3:89,Tonight,Little People,3cbU0WxlZJTFLTfXEUB433,3JWjIIPWgQQZdmxK0JllJK,instrumental hip hop,2018-10-26
Time On Her Side,3:64,The Far Field,Future Islands,1WvvwcQx0tj6NdDhZZ2zZz,5fhDKNsP4aDsSLjd4JLXrz,"alternative dance, art pop, baltimore indie, chamber pop, indie rock, indietronica, neo-synthpop, shimmer pop",2017-04-07
Batter Up,8:46,Science Fiction,Brand New,168dgYui7ExaU612eooDF1,37Rzq4SAqeFWLZWL0ScrcC,"emo, pop punk, post-hardcore, screamo",2017-08-18
Desert,3:61,Science Fiction,Brand New,168dgYui7ExaU612eooDF1,37Rzq4SAqeFWLZWL0ScrcC,"emo, pop punk, post-hardcore, screamo",2017-08-18
Lit Me Up,6:28,Science Fiction,Brand New,168dgYui7ExaU612eooDF1,37Rzq4SAqeFWLZWL0ScrcC,"emo, pop punk, post-hardcore, screamo",2017-08-18
Daisy,3:1,Daisy,Brand New,168dgYui7ExaU612eooDF1,13yCx8tlB4uMMwmOA3KYlc,"emo, pop punk, post-hardcore, screamo",2009-01-01
City with No Children,3:19,The Suburbs,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,3DrgM5X3yX1JP1liNLAOHI,"alternative rock, baroque pop, canadian indie, canadian indie rock, chamber pop, indie rock, indietronica, modern rock, permanent wave, quebec indie, rock",2010-08-02
Modern Man,4:66,The Suburbs,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,3DrgM5X3yX1JP1liNLAOHI,"alternative rock, baroque pop, canadian indie, canadian indie rock, chamber pop, indie rock, indietronica, modern rock, permanent wave, quebec indie, rock",2010-08-02
The Suburbs,5:25,The Suburbs,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,3DrgM5X3yX1JP1liNLAOHI,"alternative rock, baroque pop, canadian indie, canadian indie rock, chamber pop, indie rock, indietronica, modern rock, permanent wave, quebec indie, rock",2010-08-02
Sprawl II (Mountains Beyond Mountains),5:43,The Suburbs,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,3DrgM5X3yX1JP1liNLAOHI,"alternative rock, baroque pop, canadian indie, canadian indie rock, chamber pop, indie rock, indietronica, modern rock, permanent wave, quebec indie, rock",2010-08-02
Aspetta,0:96,Twin Galaxies,Delta Sleep,05MlomiA9La0OiNIAGqECk,2ip3aGH8KWEA8EugbTdsNZ,"brighton indie, british math rock, math pop, math rock",2016-07-08
21 Letters,5:34,Twin Galaxies,Delta Sleep,05MlomiA9La0OiNIAGqECk,2ip3aGH8KWEA8EugbTdsNZ,"brighton indie, british math rock, math pop, math rock",2016-07-08
Camp Adventure,3:16,Twin Galaxies,Delta Sleep,05MlomiA9La0OiNIAGqECk,2ip3aGH8KWEA8EugbTdsNZ,"brighton indie, british math rock, math pop, math rock",2016-07-08
Splash,2:47,Grow,Chon,2JFljHPanIjYy2QqfNYvC0,3pYRPmrFNBhewVtiN6DBh7,"instrumental math rock, instrumental rock, progressive jazz fusion, san diego indie",2015-03-23
Knight Fork,2:67,Anatolia,Feed Me Jack,2eBmUbHKMQCAdD824cSiIL,461nlL8n14p7ikgD1wbFqX,math rock,2015-06-06
We Run Shit,3:11,Proportions,Exmag,3ubv8WIA649ar6dwEH6ATm,2XVyyz5OmN7YOuYwrorh67,"funk rock, livetronica",2014-01-15
Going Down Slow,4:33,Part I,Exmag,3ubv8WIA649ar6dwEH6ATm,1QDoV4PHcrfi2QLCj4T6W2,"funk rock, livetronica",2017-11-03
Shut Up Kiss Me,3:37,MY WOMAN,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,5M8xQaQZuW2LZGVXZ3mlKN,"alternative americana, art pop, chamber pop, countrygaze, dream pop, experimental pop, indie pop, indie rock, noise pop, singer-songwriter",2016-09-02
Good Help (Is So Hard to Find),4:76,Kintsugi,Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,6BK3muExDOuk0VnyMn9NVw,"alternative rock, chamber pop, indie rock, indietronica, modern alternative rock, modern rock, seattle indie, washington indie",2015-03-27
No Room in Frame,4:09,Kintsugi,Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,6BK3muExDOuk0VnyMn9NVw,"alternative rock, chamber pop, indie rock, indietronica, modern alternative rock, modern rock, seattle indie, washington indie",2015-03-27
You Are a Tourist,4:78,Codes and Keys,Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,26HVbJdxW1zC799gz8yzUr,"alternative rock, chamber pop, indie rock, indietronica, modern alternative rock, modern rock, seattle indie, washington indie",2011-05-27
60 & Punk,4:12,Thank You for Today,Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,6agCM9GJcebduMddgFmgsO,"alternative rock, chamber pop, indie rock, indietronica, modern alternative rock, modern rock, seattle indie, washington indie",2018-08-17
Northern Lights,3:95,Thank You for Today,Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,6agCM9GJcebduMddgFmgsO,"alternative rock, chamber pop, indie rock, indietronica, modern alternative rock, modern rock, seattle indie, washington indie",2018-08-17
Autumn Love,4:32,Thank You for Today,Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,6agCM9GJcebduMddgFmgsO,"alternative rock, chamber pop, indie rock, indietronica, modern alternative rock, modern rock, seattle indie, washington indie",2018-08-17
When We Drive,3:82,Thank You for Today,Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,6agCM9GJcebduMddgFmgsO,"alternative rock, chamber pop, indie rock, indietronica, modern alternative rock, modern rock, seattle indie, washington indie",2018-08-17
I Dreamt We Spoke Again,3:08,Thank You for Today,Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,6agCM9GJcebduMddgFmgsO,"alternative rock, chamber pop, indie rock, indietronica, modern alternative rock, modern rock, seattle indie, washington indie",2018-08-17
"and then, it swallowed me",3:09,"and then, it swallowed me","Nohidea, killedmyself, Delta Sleep",5b0XQwyoJBFd3MwL2YxEPO,42yDVZtSfsWKtR1ojswbyP,"lo-fi beats, lo-fi rap",2018-02-22
Hills and Horizons,2:09,Hills and Horizons,Fujitsu,2a42gzUH51UAvwcfy0N6JT,7uVXp056ciEBVnddjf7lt5,"chillhop, lo-fi beats",2018-06-19
Did You Get That on Tape?,2:7,Night Swim,Dwyer,0hDO4d5eFDFevAkXTvN2Mv,7nSgPluLZGqVyuakQnQHxY,chillhop,2017-06-18
Train Stations,4:81,Train Stations,Freddie Joachim,0GgkfnO3Bu2CFn65ZH31TF,30ImaLkbGH6c6d7HntmGEw,"ambeat, chillhop, jazz boom bap",2017-10-13
In Another Life When We Are Both Cats,5:5,In Another Life When We Are Both Cats,Hallucinogenius,5ULivFZztYtXi23ITAy4AO,5hyh6p5cHIFSOOD3Gx3Uvt,,2018-06-24
DAVID,4:18,Among the flow - EP,Rega,0jE8JREE3hzVFAOnbBkK0r,4T22OdhDQ0JFjnE92Lif3s,japanese post-rock,2014-10-01
Sex and the City,1:29,Morning Jawns,MFakka,4AwWk21kRgNYUqldVgdjJC,5itB6YEr5zZk82kz4qZeLe,focus beats,2017-09-22
Dill Pickles,2:3,Dill Pickles,S I M,6IUKOT5oMnQ8ZUyJlZFxO2,6mcaEL1Joc87J6Cy33Q28j,focus beats,2018-01-09
Mind's End,3:73,Melancholy Prequel (Rising Sun Redux),Marcus D,5LrXI2SwrD9P30B6CqOjNV,0vqiIVBcYBJ7oEboA1GZDf,ambeat,2017-04-11
Brixton Strut,3:43,Brixton Strut,"Simon Jefferis, Natty Reeves",3pqAGIw1dthOiaFvDERi74,7DPHlMDaFTJT5AGMOH04O8,,2017-04-14
Stay a While,4:26,Stay a While,The Cactus Channel,5PvWhPEu0aTeImd5QVTSvW,7pimenXMx18ZhO5VAE8z7T,rare groove,2017-11-03
Vagabond,2:4,Groove Marauders 2,"Lester Nowhere, Saito",0wolj0IKnhhYnBFynfNaQn,6poOXzmmdpR6BNoCwpgRD1,"chillhop, lo-fi beats",2018-09-20
Grind,6:03,XII,QNA,6Zwjk4ZTP1fJdkOrwE2tKV,4fQxjza79sVnHBIZWLnW4D,,2018-02-23
Stay the Same,2:23,Only from a Dream,Canti,4YPh2MOSO13IAsOM2ouSXy,4SZd09SCK2iS0wA3WEmbJg,,2017-08-24
Linda,3:24,Rio,Bodikhuu,6H6edBGSNltgBialYci7aM,57budTBe2pxHkyPPohj9Ey,"mongolian hip hop, mongolian pop",2015-11-20
The Wad,5:22,The Wad,Vels Trio,68ZVpxiS12BeN3EgBgXW0l,4lwwL8Id8nfhA0XbLPc2Xk,"british jazz, modern jazz trio, uk contemporary jazz",2018-05-11
We Got the Power (feat. Jehnny Beth),2:33,Humanz (Deluxe),"Gorillaz, Jehnny Beth",3AA28KZvwAUcZuOKwyblJQ,0NvirtaDCaZU5PAW1O5FDE,"alternative hip hop, modern rock, rock",2017-04-28
Ascension (feat. Vince Staples),2:6,Humanz (Deluxe),"Gorillaz, Vince Staples",3AA28KZvwAUcZuOKwyblJQ,0NvirtaDCaZU5PAW1O5FDE,"alternative hip hop, modern rock, rock",2017-04-28
Miss U,4:58,Miss U,Kiefer,5lDtfHPqWN6MG9tFywnW8J,2bqFsn5Y7K2MAtWpQlNrdl,"indie jazz, indie soul, neo r&b, uk contemporary jazz",2018-01-17
Humility (feat. George Benson) - DJ Koze Remix,4:58,Humility (feat. George Benson) [Remixes],"Gorillaz, George Benson, DJ Koze",3AA28KZvwAUcZuOKwyblJQ,1n21RxlTNW3J2dHYy8RJPX,"alternative hip hop, modern rock, rock",2018-07-12
Canoe,2:42,Canoe,Natty Reeves,1fsSvgFWoQcgRDGyG6ZY64,4WyNPXRgop1I28lkfUAOlK,,2017-08-29
She Loves Me Not,2:24,She Loves Me Not,Tohaj,18w0RnrEkEovXUeERXyD6q,4mWwfIvbE7HUhtmoPb8qYy,,2018-07-28
Friday Morning - Recorded at Spotify Studios NYC,6:61,Spotify Singles,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,0SsFgST749MQC6oN9PLHLf,"indie soul, neo-psychedelic, world",2018-06-06
Mornin Dew,5:4,Satin Psicodelic,Sunni Colón,4tRZRfhgfLEIUI9mw9Njy2,1HRzxvSMJSc6sNHrU2JA1W,"alternative r&b, indie soul",2018-08-29
Impulse / Skyline,2:07,Patterns,Joe Corfield,4PTdN7iZceYLYGvOTxwAgl,4BemxwjVrLGdXTix9KxyUq,"chillhop, jazz boom bap",2018-09-10
Camden Square,7:16,Camden Square,Butcher Brown,2jQ6wRQ7yP1UrctodeuYQP,5geM0tTRyfFB1Rr3ecZ8CZ,"indie jazz, indie soul, neo r&b, rva indie",2018-09-14
Mumma Don't Tell,5:14,Mumma Don't Tell,Leifur James,2N1foZRamgP1sfiYXFID9O,6uCOo8fNby4ikAYtjAs4Qt,"experimental jazz, indie jazz",2018-09-04
Reason,3:33,Soulection Black Label: Hablot Brown,"Hablot Brown, Maths Time Joy",6LtgEnShwvrqAaKohg7skM,4drK8GetIiILQI15zbGOex,"indie r&b, indie soul, neo r&b",2018-07-29
It's All Gonna Break,9:92,Broken Social Scene,Broken Social Scene,7lOJ7WXyopaxri0dbOiZkd,0y7KfUbof07yf2bHFYdPJZ,"alternative rock, baroque pop, canadian indie, canadian indie rock, canadian rock, indie rock, noise pop",2005-10-11
Superconnected,5:66,Broken Social Scene,Broken Social Scene,7lOJ7WXyopaxri0dbOiZkd,0y7KfUbof07yf2bHFYdPJZ,"alternative rock, baroque pop, canadian indie, canadian indie rock, canadian rock, indie rock, noise pop",2005-10-11
Swimmers,2:93,Broken Social Scene,Broken Social Scene,7lOJ7WXyopaxri0dbOiZkd,0y7KfUbof07yf2bHFYdPJZ,"alternative rock, baroque pop, canadian indie, canadian indie rock, canadian rock, indie rock, noise pop",2005-10-11
Windsurfing Nation,4:6,Broken Social Scene,Broken Social Scene,7lOJ7WXyopaxri0dbOiZkd,0y7KfUbof07yf2bHFYdPJZ,"alternative rock, baroque pop, canadian indie, canadian indie rock, canadian rock, indie rock, noise pop",2005-10-11
Fire Eye'd Boy,3:98,Broken Social Scene,Broken Social Scene,7lOJ7WXyopaxri0dbOiZkd,0y7KfUbof07yf2bHFYdPJZ,"alternative rock, baroque pop, canadian indie, canadian indie rock, canadian rock, indie rock, noise pop",2005-10-11
Finish Your Collapse And Stay For Breakfast,1:41,Broken Social Scene,Broken Social Scene,7lOJ7WXyopaxri0dbOiZkd,0y7KfUbof07yf2bHFYdPJZ,"alternative rock, baroque pop, canadian indie, canadian indie rock, canadian rock, indie rock, noise pop",2005-10-11
7/4 (Shoreline),4:9,Broken Social Scene,Broken Social Scene,7lOJ7WXyopaxri0dbOiZkd,0y7KfUbof07yf2bHFYdPJZ,"alternative rock, baroque pop, canadian indie, canadian indie rock, canadian rock, indie rock, noise pop",2005-10-11
Moon,3:31,Triangle,Slow Magic,3htNAy3vYWWYV8RZFeyRMT,6B54ne5oOeIrQWunmlXrBs,"chillwave, gauze pop, vapor twitch",2012-05-14
Youths,3:29,Triangle,Slow Magic,3htNAy3vYWWYV8RZFeyRMT,6B54ne5oOeIrQWunmlXrBs,"chillwave, gauze pop, vapor twitch",2012-05-14
Toddler Tiger,2:47,Triangle,Slow Magic,3htNAy3vYWWYV8RZFeyRMT,6B54ne5oOeIrQWunmlXrBs,"chillwave, gauze pop, vapor twitch",2012-05-14
Hand It Over,4:22,Little Dark Age,MGMT,0SwO7SWeDHJijQ3XNS7xEE,7GjVWG39IOj4viyWplJV4H,"alternative rock, indie rock, indietronica, modern rock, rock",2018-02-09
One Thing Left to Try,4:34,Little Dark Age,MGMT,0SwO7SWeDHJijQ3XNS7xEE,7GjVWG39IOj4viyWplJV4H,"alternative rock, indie rock, indietronica, modern rock, rock",2018-02-09
Me and Michael,4:83,Little Dark Age,MGMT,0SwO7SWeDHJijQ3XNS7xEE,7GjVWG39IOj4viyWplJV4H,"alternative rock, indie rock, indietronica, modern rock, rock",2018-02-09
When You Die,4:4,Little Dark Age,MGMT,0SwO7SWeDHJijQ3XNS7xEE,7GjVWG39IOj4viyWplJV4H,"alternative rock, indie rock, indietronica, modern rock, rock",2018-02-09
"Opposite Ways - Live From Studio G, New York City",3:29,"Opposite Ways (Live From Studio G, New York City)","Brasstracks, S'natra, FATHERDUDE",5sKvgmG84C0bIMWeS2SRPr,3VVcwoRwSCjcxzvnQ8dc1v,nyc pop,2018-03-20
aGe of You.,2:9,Yesterday's Tomorrow,Phony Ppl,0oBsnAC3fzYkTHF3bkfNx6,6IGDCUkBJ3LEUoAcoTD46u,"alternative r&b, indie soul",2015-01-13
The World It Softly Lulls,2:93,Tawk Tomahawk,Hiatus Kaiyote,43JlwunhXm1oqdKyOa2Z9Y,54UDcBALhfyaQ67fsSZrkQ,"alternative r&b, australian r&b, indie soul, shiver pop",2013-07-12
Fair Enough,4:27,Fair Enough,Minus the Bear,0YQBN02bmZvwGNrrWsg2sT,2DhNO2Bdlbvo4YMhnYSala,"indie rock, math pop, post-hardcore, seattle indie",2018-10-19
The Facts,4:96,Aftathoughts Vol.1,Afta-1,34utayk0DUNl1YblAHEAQm,0hiPdFPtX8CLrynPTWU0rH,"abstract beats, wonky",2008-01-01
Afterglow,4:68,Fallen Light,"Phaeleh ft. Soundmouse, Phaeleh, ",7lbp0JENEyGMN7LgqF25Yq,1i6hunJoJRs2AmoyxMXd7C,,2010-10-25
Time Eater - Ssighborggg Re-cover,6:8,Your Good Times Are Just Beginning,"Gold Panda, Ssighborggg, Luna",6xS3zemJD9h94iueQvGqVk,3boOxbh9UBzbD1O26NwUD7,"chillwave, electronica, future garage, indietronica, microhouse, wonky",2016-11-18
Feel This Way,3:73,Homey,"Chon, Giraffage",2JFljHPanIjYy2QqfNYvC0,6KC06etxRkjUDzvfxU5sgA,"instrumental math rock, instrumental rock, progressive jazz fusion, san diego indie",2017-06-16
We Are Happy Landfill,3:66,D-Sides,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,0pdYY0CHFRVFLBZEPEKTMZ,"alternative hip hop, modern rock, rock",2007-11-19
A Silver Song,6:12,Conspiracy Of Owls,Conspiracy Of Owls,0qoKN7ITffvddj6PVhmDSK,4Apf5HPUimeotZoI2Em70S,psychedelic pop,2013-04-02
Chanson,8:6,Crawl Space,Art Farmer,4L9xEztn5PKQIO5WnI5W3u,5SNc8uwbqPHFxpdOsV808z,"bebop, contemporary post-bop, cool jazz, hard bop, jazz, jazz trumpet",1977
Only To Live In Your Memories,4:43,Pennied Days,Night Moves,6Pled8lBAODAviS574l1Q4,6E06hCaPnbNSR2KhVTa7CJ,indie rock,2016-03-25
Stop Tonight,4:13,Songs from the Vanished Frontier,Yellowbirds,7jhLDZmwCt286VkegUD67F,6b97b7ZBU24L6XrWohB9Cm,houston indie,2013-05-28
In My Head,3:13,Loose Grooves and Bastard Blues,Tommy Guerrero,5qnkHpjyS6CUxH1UUy82B7,1Z2YViJxgSuTL1CkT9En9H,,1997-03-01
We Live In Brooklyn Baby,4:6,Nautiloid Matter,Nautilus,4BkWJqgQzg2M6iVG8u8mPA,6tZiFfADBkzDqA7W4gvYG2,"classic japanese jazz, japanese jazz fusion",2015-10-14
Ladyfingers,2:74,Whipped Cream & Other Delights,Herb Alpert & The Tijuana Brass,09L3cUdx0hq6qn5bKuJJ4I,4D5g4h22sVd5m8mBEZAzpn,"easy listening, lounge",1965-04-01
Hard To Say Goodbye,4:22,Mister Mellow,Washed Out,5juOkIIy18sFw9L30syt1Z,6vH2HRnhMGcKpefyjNwXeJ,"chillwave, indietronica, neo-synthpop",2017-06-30
Inside World,3:67,Inside World,Alex Burey,4Euu7wpS2hGCEXU4hZxPuW,6RHNfiojR16tHlIzRu8mKj,,2015-02-06
Summer Breeze,4:84,Solar Wind,Ramsey Lewis,7Kfrmups2Z3ncDQmNS5jRc,0LhYyOAN6d82WSg85St6q4,"instrumental soul, jazz funk, jazz piano, smooth jazz, soul jazz",1974-08-08
Mic Check,3:02,Fantasma (Remastered),Cornelius,2vJObElaIZWYDLpiXiJMo9,3Wml3n8kxQ1S14zXynLduY,"indietronica, j-ambient, japanese alternative pop, shibuya-kei",1998-03-24
Day By Day,3:43,Bloomsday,Esbe,3Y7Y2CNmpI13IevU3PuzCa,2ceQKxT0GhryrHU5di7tmz,,2015-12-11
Blossom,6:68,Bloomsday,Esbe,3Y7Y2CNmpI13IevU3PuzCa,2ceQKxT0GhryrHU5di7tmz,,2015-12-11
Cómo Te Quiero,4:04,Con Todo El Mundo,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,42j41uUwuHZT3bnedq2XtM,"indie soul, neo-psychedelic, world",2018-01-26
16: 40am,5:92,Management,Delta Sleep,05MlomiA9La0OiNIAGqECk,2GIIGPFaSZhaF81T0C3qol,"brighton indie, british math rock, math pop, math rock",2013-04-01
Float,3:05,Bloomsday,Esbe,3Y7Y2CNmpI13IevU3PuzCa,2ceQKxT0GhryrHU5di7tmz,,2015-12-11
Other Things,3:07,Other Things,Plini,3Gs10XJ4S4OEFrMRqZJcic,47ADDM8tsPDQ3eJGhkuL6N,"djent, instrumental math rock, instrumental rock, progressive jazz fusion",2013-03-11
Ocean Morning,1:27,Nimbus EP,Jaeden Camstra,1xOgtDBKnZvSLAgCVSOmNH,2JGThnDDs1UQcvZFtBtTG7,,2017-03-31
