Song Name,Duration,Album,Artists,Artist_id,Album_id,Genre,Release_Date
Planet Caravan,9:19,Planet Caravan,Moon Duo,4ipKeGoyPCcpEblETS4qLu,34ybO2ipCxno1JatWdXnsS,"neo-kraut, neo-psychedelic",2020-06-05
Incaviglia,3:25,Last Day of Summer (Remastered),White Denim,0RdRumkn2UydUjqytNJ2Cp,01lgOgXlJez0CYCq8RKe1z,"austin rock, austindie, neo-psychedelic",2010-09-23
Ventura Highway,3:53,Homecoming,"America, George Martin",35U9lQaRWSQISxQAB94Meo,7eqBAR9pblivMBOI70q2um,"album rock, classic rock, folk rock, mellow gold, soft rock",1972-01-01
Heart Of The Country - Remastered 2012,2:39,Ram (Archive Collection),"Paul McCartney, Linda McCartney",4STHEaNw4mPZ2tzheohgXB,3DTMsrNO6lEHNmDJ0fsN4v,"classic rock, mellow gold, rock, soft rock",1971-05-17
Only A Fool Would Say That,2:92,Can't Buy A Thrill,Steely Dan,6P7H3ai06vU1sGvdpBwDmE,6DlSUW5gmq6Byc3osKDJ2p,"album rock, classic rock, country rock, folk rock, mellow gold, rock, soft rock, yacht rock",1972-11-01
Summer Sun,4:82,Summer Sun,Common Saints,5UA8O7xDhZ74ebRYT0XOxB,6zoTurUuh7v1X8Id7MEKNv,,2020-08-21
Welcome to Slow Air,5:63,Slow Air,Still Corners,4zKYrXs8iN4AeHmO8ZxNqp,5wQzD4g80qIXRVUOD9we2G,metropopolis,2018-08-17
Broken Clouds,5:4,Clouds,Gaussian Curve,2rxgmguaQSynTMnBKZL73G,4FC9qI04vobItNEKVeRh8Q,"dutch experimental electronic, fourth world, shoegaze",2015-04-16
Dumpalltheguns - Jitwam Remix,3:97,Lotus Glow (Deluxe),"Adi Oasis, Jitwam",5RRfTrwXUGYiBB0DMV4hyh,6kuBg5Z0JeUfsG9Qo8Q8le,"indie r&b, indie soul",2024-05-10
Mountain Bells,4:65,Mountain Bells / Petrolero,Granfergo,6WJ2GFYV6gsIYhT1MW5EZa,7KIS2TWbw6YHPmVmjfPraa,,2023-09-08
Calzaghe,3:59,Calzaghe,Yuuf,3VfdXeAhqukWy1TTimSA7v,6gkKsuwFrLLq7Xf1GJzvl7,,2024-04-19
razzz,2:44,quatro,SuperParka,5TztG8UlidyWr5gcdHho1l,6RFImvgWAnjDxWkxLRUBFn,,2023-10-13
NYC,3:66,Las Los,Las Los,3WqvmoaOxt3SeGPoEew1L1,1yebTZTqvVszqrNASvamIA,,2024-04-19
Morning Sunrise,3:58,Morning Sunrise,Swish Jaguar,0CePtg2N6wwA0wJyb8HkDj,48S8dB280ZODmn9mCwMc0y,,2022-08-24
Sections 1-16,12:94,Canto Ostinato,"Simeon ten Holt, Erik Hall",0aU7GVdY5SUzQ0dBObFK57,6nRzGIFEUCxf19vdEdZEZ5,"dutch contemporary classical, minimalism",2023-02-24
Too Beautiful For A Cubicle,2:96,Astral Plains,Peace Flag Ensemble,3osiBkb0uSyLyMuWkWxjlU,30Uk6HiVaAEKElEdXBcUlQ,,2023-07-14
Part II,1:34,"IAAI, Vol. 1",I Am An Instrument,1V1TVU82iVw065XEKFS6z4,7Gm73BVIjWgbBT21AoR57e,danish modern jazz,2019-07-12
Golden Dub,4:56,Happy Hour in Dub,"Hollie Cook, Rosie Turton",1fwuUuFbqXJx3B17PUhFCE,2s5ebk0kL3KqNtrQeSqM3n,uk reggae,2023-08-11
